phy.species,depth_cat,habitat3,benthic,sociality.3,sociality.bin,depth.max,depth.min,depth.range,depth.mean,lat.range,lifespan.max,lifespan.min,matage.max,matage.min,defense.repertoire,foraging.repertoire,cog2,diet.breadth,predator.breadth,WoS,articles.read,CNS.1,ML.1,lifespan.mean,matage.mean,pos.latmean,eq.dist,Superorder,Order,Family,Genus,Species,brain
Mastigoteuthis_agassizii,4,0,0,1,0,0.696,0.962,0.373,0.77,0.875,NA,NA,NA,NA,NA,-1.263,NA,NA,-1.54,-1.307,-1.209,-0.836,-0.272,NA,NA,-0.349,-0.045,Decapodiformes,Oegopsida,Mastigoteuthidae,Mastigoteuthis,Mastigoteuthis agassizii,0
Megalocranchia_oceanica,3,0,0,1,0,0.617,0.819,0.399,0.593,0.832,NA,NA,NA,NA,NA,NA,NA,NA,-0.42,-1.307,-1.956,0.581,1.786,NA,NA,-0.57,-4.816,Decapodiformes,Oegopsida,Cranchiidae,Megalocranchia,Megalocranchia oceanica,0
Neorossia_caroli,4,2,1,1,0,0.525,0.738,0.365,0.486,0.977,0.2,0.16,NA,NA,NA,NA,NA,NA,-0.42,-0.149,-0.071,-1.048,-0.272,0.132,NA,-0.349,-0.045,Decapodiformes,Sepiolida,Sepiolidae,Neorossia,Neorossia caroli,1
Neoteuthis_thielei,4,0,0,1,0,0.617,0.952,0.335,0.694,1.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.996,-1.956,-1.174,-1.42,NA,NA,-0.242,0.051,Decapodiformes,Oegopsida,Neoteuthidae,Neoteuthis,Neoteuthis thielei,1
Octopoteuthis_danae,4,0,0,1,0,0.152,-1.227,0.197,0.107,-0.425,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,-1.996,-1.013,0.324,-0.088,NA,NA,0.023,0.2,Decapodiformes,Oegopsida,Octopoteuthidae,Octopoteuthis,Octopoteuthis danae,1
Onychoteuthis_banksii,4,0,0,3,1,-0.927,-1.227,-0.311,-0.948,-0.302,-0.794,0.16,0.053,-0.078,0.062,NA,NA,0.371,0.701,0.216,0.285,-0.588,-0.788,-0.512,-0.136,1.001,0.462,Decapodiformes,Oegopsida,Onychoteuthidae,Onychoteuthis,Onychoteuthis banksii,1
Pickfordiateuthis_pulchella,1,2,1,3,1,1.081,-1.227,0.634,1.015,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.618,-0.862,-1.665,-1.529,NA,NA,-0.48,-0.264,Decapodiformes,Myopsida,Loliginidae,Pickfordiateuthis,Pickfordiateuthis pulchella,1
Pterygioteuthis_giardi,2,0,0,1,0,0.214,0.696,0.219,0.182,0.705,NA,NA,NA,NA,-0.575,-1.263,NA,NA,0.236,-0.34,-0.462,-2.028,-1.42,NA,NA,-0.686,-0.21,Decapodiformes,Oegopsida,Pyroteuthidae,Pterygioteuthis,Pterygioteuthis giardi,1
Pyroteuthis_margaritifera,2,0,0,1,0,0.681,-1.227,0.445,0.624,1.07,NA,NA,NA,NA,-0.575,NA,NA,-0.127,-0.42,-0.219,-0.39,-0.444,-0.758,NA,NA,-0.349,-0.045,Decapodiformes,Oegopsida,Pyroteuthidae,Pyroteuthis,Pyroteuthis margaritifera,1
Rossia_macrosoma,4,2,1,2,0,0.424,-1.227,0.324,0.373,0.13,-0.794,0.16,-0.069,0.023,NA,NA,NA,-0.127,0.701,0.483,0.26,0.56,0.026,-0.512,-0.185,0.97,0.456,Decapodiformes,Sepiolida,Sepiolidae,Rossia,Rossia macrosoma,1
Sandalops_melancholicus,3,0,0,1,0,0.082,0.718,0.152,0.061,0.589,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,-0.775,-0.738,-0.705,0.475,NA,NA,-0.525,-0.429,Decapodiformes,Oegopsida,Cranchiidae,Sandalops,Sandalops melancholicus,1
Sepia_bandensis,1,2,1,2,0,0.003,0.712,0.114,-0.015,-0.637,-1.207,-0.246,-1.496,-0.873,0.062,-0.317,0.203,-2.028,NA,-0.872,-0.542,0.912,-0.272,-0.97,-1.442,-0.392,-0.098,Decapodiformes,Sepiida,Sepiidae,Sepia,Sepia bandensis,1
Sepia_elegans,1,2,1,1,0,-2.934,-1.227,-1.256,-2.911,0.519,-0.135,0.16,0.053,0.887,NA,NA,-0.957,0.371,0.701,0.745,0.553,0.264,-0.376,-0.106,0.261,0.234,0.279,Decapodiformes,Sepiida,Sepiidae,Sepia,Sepia elegans,1
Sepia_officinalis,1,2,1,1,0,-0.19,0.676,0.025,-0.206,-0.139,0.782,0.037,1.031,0.595,1.956,1.878,2.352,1.339,0.701,2.545,2.687,1.152,1.076,0.555,0.801,0.907,0.444,Decapodiformes,Sepiida,Sepiidae,Sepia,Sepia officinalis,1
Sepia_orbignyana,1,2,1,1,0,-0.799,-1.227,-0.251,-0.823,0.382,-0.212,0.16,-0.204,-0.224,NA,-1.263,NA,1.073,0.236,0.529,0.146,0.736,0.072,-0.158,-0.368,0.216,0.273,Decapodiformes,Sepiida,Sepiidae,Sepia,Sepia orbignyana,1
Sepia_plangon,1,2,1,2,0,-0.249,0.651,-0.001,-0.267,-0.897,-1.055,-0.097,NA,NA,-0.575,NA,1.237,-2.028,NA,-0.618,-0.462,1.664,0.42,-0.802,NA,-1.721,0.308,Decapodiformes,Sepiida,Sepiidae,Sepia,Sepia plangon,1
Sepietta_oweniana,1,2,1,2,0,-1.516,0.41,-0.592,-1.516,0.15,-1.207,-0.819,-0.924,-0.874,0.062,-1.263,-0.225,1.073,1.061,0.458,0.422,-0.159,-0.988,-1.259,1.681,0.986,0.459,Decapodiformes,Sepiolida,Sepiolidae,Sepietta,Sepietta oweniana,1
Sepiola_affinis,1,2,1,2,0,0.152,0.595,0.194,0.112,-1.915,NA,NA,NA,NA,0.062,-0.317,0.203,NA,NA,-0.34,-0.071,-0.214,-1.102,NA,NA,0.939,0.45,Decapodiformes,Sepiolida,Sepiolidae,Sepiola,Sepiola affinis,1
Sepiola_robusta,1,2,1,1,0,-1.005,0.651,-0.375,-0.971,-1.444,-1.207,-0.818,NA,NA,0.062,-1.263,-0.957,-2.028,NA,-0.219,-0.071,-0.471,-1.369,-1.259,NA,0.859,0.435,Decapodiformes,Sepiolida,Sepiolidae,Sepiola,Sepiola robusta,1
Sepiola_rondeletii,1,2,1,1,0,-0.315,0.699,-0.04,-0.317,-0.019,-0.212,0.732,NA,NA,-0.575,NA,NA,-0.828,NA,0.216,-0.212,-0.307,-1.228,0.132,NA,0.859,0.435,Decapodiformes,Sepiolida,Sepiolidae,Sepiola,Sepiola rondeletii,1
Sepioteuthis_lessoniana,1,1,1,3,1,-1.391,-1.227,-0.529,-1.402,0.753,-0.794,-0.818,-1.299,-1.036,-0.575,-0.317,1.362,-0.127,-1.54,1.388,1.253,1.368,0.486,-0.969,-1.401,-0.458,-0.21,Decapodiformes,Myopsida,Loliginidae,Sepioteuthis,Sepioteuthis lessoniana,1
Sepioteuthis_sepioidea,1,1,1,3,1,-2.47,-1.227,-1.037,-2.457,-0.273,-0.381,0.16,-0.925,-0.224,2.106,1.181,1.237,-0.828,-1.54,0.704,0.805,0.782,0.825,-0.268,-0.814,-0.242,0.051,Decapodiformes,Myopsida,Loliginidae,Sepioteuthis,Sepioteuthis sepioidea,1
Spirula_spirula,4,0,0,3,1,0.152,0.819,0.163,0.169,0.705,-0.061,0.16,0.368,0.887,-0.575,NA,NA,-0.127,0.236,0.66,0.817,-1.008,-1.529,-0.055,0.444,-0.327,-0.023,Decapodiformes,Spirulida,Spirulidae,Spirula,Spirula spirula,1
Taonius_pavo,3,0,0,1,0,0.617,0.992,0.279,0.758,0.575,NA,NA,NA,NA,-1.666,NA,NA,NA,0.701,0.094,0.233,0.684,2.358,NA,NA,-0.458,-0.21,Decapodiformes,Oegopsida,Cranchiidae,Taonius,Taonius pavo,1
Teuthowenia_megalops,3,0,0,1,0,0.818,0.738,0.505,0.767,-0.218,0.782,1.138,NA,NA,0.062,NA,NA,NA,0.701,-0.183,-0.114,0.781,1.506,0.943,NA,1.315,0.515,Decapodiformes,Oegopsida,Cranchiidae,Teuthowenia,Teuthowenia megalops,1
Todarodes_sagittatus,2,1,1,3,1,1.174,-1.227,0.677,1.106,0.642,-0.573,0.159,-0.415,-0.339,NA,NA,NA,0.371,0.701,1.143,1.104,1.583,1.614,-0.386,-0.553,0.678,0.397,Decapodiformes,Oegopsida,Ommastrephidae,Todarodes,Todarodes sagittatus,1
Todaropsis_eblanae,2,2,1,1,0,0.042,0.676,0.137,0.014,0.776,-0.794,-0.601,NA,NA,NA,NA,NA,0.371,1.061,0.841,0.862,1.23,0.809,-0.884,NA,-0.118,0.131,Decapodiformes,Oegopsida,Ommastrephidae,Todaropsis,Todaropsis eblanae,1
