phy.species,depth_cat2,depth_cat,habitat3,benthic,benthic_alt,sociality.3,sociality.bin,depth.max,depth.min,depth.range,lat.range,lifespan.max,lifespan.min,matage.max,matage.min,defense.repertoire,foraging.repertoire,cog2,diet.breadth,predator.breadth,WoS,articles.read,CNS.1,ML.1,pos.latmax,pos.latmin,depth.mean,lifespan.mean,matage.mean,pos.latmean,CNS.2,CNS.3,ML.2,ML.3,CNS.23,ML.23
Abralia_veranyi,2,2,0,0,0,1,0,0.035,-0.971,0.064,-0.191,NA,NA,NA,NA,-0.575,NA,-0.957,-0.127,0.236,0.252,0.046,-0.104,-0.49,-0.277,0.485,0.007,NA,NA,0.101,-0.518,NA,-0.212,NA,-0.518,-0.212
Rossia_macrosoma,3,4,2,1,1,2,0,-0.044,0.539,-0.042,0.13,-0.794,0.16,-0.069,0.023,NA,NA,NA,-0.127,0.701,0.483,0.26,0.56,0.026,0.731,0.862,-0.045,-0.512,-0.185,0.97,0.155,NA,0.106,NA,0.155,0.106
Todarodes_sagittatus,2,2,1,1,0,3,1,0.714,-0.971,0.749,0.642,-0.573,0.159,-0.415,-0.339,NA,NA,NA,0.371,0.701,1.143,1.104,1.583,1.614,0.924,0.316,0.686,-0.386,-0.553,0.678,1.936,NA,2.603,NA,1.936,2.603
Ancistroteuthis_lichtensteinii,3,4,0,0,0,1,0,0.212,-0.971,0.242,0.927,NA,NA,NA,NA,NA,NA,NA,-0.828,0.236,-0.149,-0.266,0.546,0.902,0.439,-1.214,0.184,NA,NA,-0.458,0.364,NA,1.173,NA,0.364,1.173
Sepiola_affinis,1,1,2,1,1,2,0,-1.246,0.344,-1.317,-1.915,NA,NA,NA,NA,0.062,-0.317,0.203,NA,NA,-0.34,-0.071,-0.214,-1.102,-0.036,1.257,-1.191,NA,NA,0.939,-1.436,NA,-1.508,NA,-1.436,-1.508
Sepiola_robusta,1,1,2,1,1,1,0,-0.483,0.453,-0.498,-1.444,-1.207,-0.818,NA,NA,0.062,-1.263,-0.957,-2.028,NA,-0.219,-0.071,-0.471,-1.369,-0.036,1.178,-0.472,-1.259,NA,0.859,-1.4,NA,-1.424,NA,-1.4,-1.424
Sepia_elegans,1,1,2,1,1,1,0,-0.344,0.344,-0.344,0.519,-0.135,0.16,0.053,0.887,NA,NA,-0.957,0.371,0.701,0.745,0.553,0.264,-0.376,0.439,0.103,-0.347,-0.106,0.261,0.234,0.037,NA,0.04,NA,0.037,0.04
Todaropsis_eblanae,2,2,2,1,1,1,0,-0.086,0.344,-0.076,0.776,-0.794,-0.601,NA,NA,NA,NA,NA,0.371,1.061,0.841,0.862,1.23,0.809,0.469,-0.522,-0.096,-0.884,NA,-0.118,1.225,NA,1.302,NA,1.225,1.302
Sepia_plangon,1,1,2,1,1,2,0,-1.812,-0.672,-1.808,-0.897,-1.055,-0.097,NA,NA,-0.575,NA,1.237,-2.028,NA,-0.618,-0.462,1.664,0.42,-2.399,-0.302,-1.822,-0.802,NA,-1.721,1.387,2.145,0.69,1.031,1.766,0.8605
Sepia_orbignyana,1,1,2,1,1,1,0,-0.159,0.227,-0.147,0.382,-0.212,0.16,-0.204,-0.224,NA,-1.263,NA,1.073,0.236,0.529,0.146,0.736,0.072,0.286,0.213,-0.172,-0.158,-0.368,0.216,0.69,NA,0.425,NA,0.69,0.425
Illex_coindetii,2,2,1,1,0,1,0,0.105,-0.971,0.135,0.505,-0.212,-0.818,-0.297,-0.897,NA,NA,-0.957,0.371,0.701,1.117,1.5,1.176,0.931,0.439,0.131,0.078,-0.513,-0.653,0.253,0.636,NA,0.842,NA,0.636,0.842
Sepioteuthis_lessoniana,1,1,1,1,0,3,1,-1.674,-0.971,-1.659,0.753,-0.794,-0.818,-1.299,-1.036,-0.575,-0.317,1.362,-0.127,-1.54,1.388,1.253,1.368,0.486,0.192,-0.814,-1.694,-0.969,-1.401,-0.458,NA,NA,NA,NA,NA,NA
