phy.species,depth_cat,habitat3,benthic,sociality.3,sociality.bin,depth.max,depth.min,depth.range,depth.mean,lat.range,lifespan.max,lifespan.min,matage.max,matage.min,defense.repertoire,foraging.repertoire,cog2,diet.breadth,predator.breadth,WoS,articles.read,lifespan.mean,matage.mean,pos.latmean,eq.dist,CNS_measure,CNS_value,ML_measure,ML_value
Argonauta_argo,1,0,0,2,0,0.424,-1.227,0.324,0.373,0.642,NA,NA,NA,NA,0.866,0.236,-0.225,-0.127,1.061,0.912,0.633,NA,NA,-0.57,-4.816,CNS.1,0.223,ML.1,-0.49
Argonauta_argo,1,0,0,2,0,0.424,-1.227,0.324,0.373,0.642,NA,NA,NA,NA,0.866,0.236,-0.225,-0.127,1.061,0.912,0.633,NA,NA,-0.57,-4.816,CNS.2,-0.326,ML.2,-0.337
Argonauta_argo,1,0,0,2,0,0.424,-1.227,0.324,0.373,0.642,NA,NA,NA,NA,0.866,0.236,-0.225,-0.127,1.061,0.912,0.633,NA,NA,-0.57,-4.816,CNS.3,-0.48,ML.3,NA
Bathothauma_lyromma,3,0,0,1,0,0.617,0.881,0.382,0.624,0.575,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,-0.775,-0.862,NA,NA,-0.458,-0.21,CNS.1,-0.482,ML.1,0.939
Bathothauma_lyromma,3,0,0,1,0,0.617,0.881,0.382,0.624,0.575,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,-0.775,-0.862,NA,NA,-0.458,-0.21,CNS.2,NA,ML.2,NA
Bathothauma_lyromma,3,0,0,1,0,0.617,0.881,0.382,0.624,0.575,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,-0.775,-0.862,NA,NA,-0.458,-0.21,CNS.3,NA,ML.3,NA
Bathypolypus_bairdii,4,2,1,1,0,0.444,0.676,0.33,0.4,-2.722,0.782,1.711,NA,NA,NA,-0.317,-0.957,NA,NA,-0.872,-0.738,1.233,NA,1.169,0.491,CNS.1,0.561,ML.1,0.2
Bathypolypus_bairdii,4,2,1,1,0,0.444,0.676,0.33,0.4,-2.722,0.782,1.711,NA,NA,NA,-0.317,-0.957,NA,NA,-0.872,-0.738,1.233,NA,1.169,0.491,CNS.2,NA,ML.2,NA
Bathypolypus_bairdii,4,2,1,1,0,0.444,0.676,0.33,0.4,-2.722,0.782,1.711,NA,NA,NA,-0.317,-0.957,NA,NA,-0.872,-0.738,1.233,NA,1.169,0.491,CNS.3,NA,ML.3,NA
Bathypolypus_sponsalis,4,2,1,1,0,0.559,0.866,0.357,0.563,-0.637,1.195,0.16,0.544,-0.873,NA,NA,NA,0.371,-0.42,-0.117,-0.39,0.943,0.054,0.61,0.381,CNS.1,-0.098,ML.1,-0.617
Bathypolypus_sponsalis,4,2,1,1,0,0.559,0.866,0.357,0.563,-0.637,1.195,0.16,0.544,-0.873,NA,NA,NA,0.371,-0.42,-0.117,-0.39,0.943,0.054,0.61,0.381,CNS.2,-0.902,ML.2,-0.813
Bathypolypus_sponsalis,4,2,1,1,0,0.559,0.866,0.357,0.563,-0.637,1.195,0.16,0.544,-0.873,NA,NA,NA,0.371,-0.42,-0.117,-0.39,0.943,0.054,0.61,0.381,CNS.3,-0.386,ML.3,-0.685
Bathyteuthis_abyssicola,4,0,0,1,0,1.114,0.962,0.609,1.121,1.07,NA,NA,NA,NA,NA,NA,-0.957,NA,-1.54,-0.257,-0.212,NA,NA,-1.319,0.216,CNS.1,-1.865,ML.1,-1.102
Bathyteuthis_abyssicola,4,0,0,1,0,1.114,0.962,0.609,1.121,1.07,NA,NA,NA,NA,NA,NA,-0.957,NA,-1.54,-0.257,-0.212,NA,NA,-1.319,0.216,CNS.2,NA,ML.2,NA
Bathyteuthis_abyssicola,4,0,0,1,0,1.114,0.962,0.609,1.121,1.07,NA,NA,NA,NA,NA,NA,-0.957,NA,-1.54,-0.257,-0.212,NA,NA,-1.319,0.216,CNS.3,NA,ML.3,NA
Bolitaena_pygmaea,3,0,0,1,0,0.467,-1.227,0.345,0.415,0.616,NA,NA,NA,NA,NA,NA,-0.225,NA,-0.42,-1.561,-1.485,NA,NA,-0.525,-0.429,CNS.1,-0.831,ML.1,-0.005
Bolitaena_pygmaea,3,0,0,1,0,0.467,-1.227,0.345,0.415,0.616,NA,NA,NA,NA,NA,NA,-0.225,NA,-0.42,-1.561,-1.485,NA,NA,-0.525,-0.429,CNS.2,NA,ML.2,NA
Bolitaena_pygmaea,3,0,0,1,0,0.467,-1.227,0.345,0.415,0.616,NA,NA,NA,NA,NA,NA,-0.225,NA,-0.42,-1.561,-1.485,NA,NA,-0.525,-0.429,CNS.3,NA,ML.3,NA
Callistoctopus_macropus,1,2,1,1,0,-0.799,0.614,-0.264,-0.796,-0.562,NA,NA,NA,NA,0.866,-0.317,-0.957,-2.028,-1.54,0.603,0.114,NA,NA,0.576,0.373,CNS.1,0.191,ML.1,NA
Callistoctopus_macropus,1,2,1,1,0,-0.799,0.614,-0.264,-0.796,-0.562,NA,NA,NA,NA,0.866,-0.317,-0.957,-2.028,-1.54,0.603,0.114,NA,NA,0.576,0.373,CNS.2,NA,ML.2,NA
Callistoctopus_macropus,1,2,1,1,0,-0.799,0.614,-0.264,-0.796,-0.562,NA,NA,NA,NA,0.866,-0.317,-0.957,-2.028,-1.54,0.603,0.114,NA,NA,0.576,0.373,CNS.3,NA,ML.3,NA
Chiroteuthis_veranii,4,0,0,3,1,0.137,0.926,0.059,0.284,1.07,NA,NA,NA,NA,-1.666,-1.263,NA,-0.127,1.061,0.116,0.046,NA,NA,-0.57,-4.816,CNS.1,-0.424,ML.1,-0.122
Chiroteuthis_veranii,4,0,0,3,1,0.137,0.926,0.059,0.284,1.07,NA,NA,NA,NA,-1.666,-1.263,NA,-0.127,1.061,0.116,0.046,NA,NA,-0.57,-4.816,CNS.2,NA,ML.2,NA
Chiroteuthis_veranii,4,0,0,3,1,0.137,0.926,0.059,0.284,1.07,NA,NA,NA,NA,-1.666,-1.263,NA,-0.127,1.061,0.116,0.046,NA,NA,-0.57,-4.816,CNS.3,NA,ML.3,NA
Chtenopteryx_sicula,2,0,0,1,0,0.274,0.855,0.212,0.304,0.705,NA,NA,NA,NA,NA,NA,NA,-2.028,-1.54,-0.437,-0.266,NA,NA,-0.242,0.051,CNS.1,-0.958,ML.1,-0.884
