phy.species,depth_cat,habitat3,benthic,sociality.3,sociality.bin,depth.max,depth.min,depth.range,depth.mean,lat.range,lifespan.max,lifespan.min,matage.max,matage.min,defense.repertoire,foraging.repertoire,cog2,diet.breadth,predator.breadth,WoS,articles.read,lifespan.mean,matage.mean,pos.latmean,eq.dist,CNS_measure,CNS_value,ML_measure,ML_value
Japetella_diaphana,3,0,0,1,0,0.766,0.978,0.399,0.848,0.764,NA,NA,NA,NA,-1.666,NA,-0.225,0.371,0.701,-0.34,-0.212,NA,NA,-0.138,0.12,CNS.2,NA,ML.2,NA
Japetella_diaphana,3,0,0,1,0,0.766,0.978,0.399,0.848,0.764,NA,NA,NA,NA,-1.666,NA,-0.225,0.371,0.701,-0.34,-0.212,NA,NA,-0.138,0.12,CNS.3,NA,ML.3,NA
Joubiniteuthis_portieri,4,0,0,1,0,1.081,-1.227,0.634,1.015,0.349,NA,NA,NA,NA,NA,NA,NA,NA,0.236,-1.126,-0.862,NA,NA,-0.349,-0.045,CNS.1,-1.865,ML.1,-0.884
Joubiniteuthis_portieri,4,0,0,1,0,1.081,-1.227,0.634,1.015,0.349,NA,NA,NA,NA,NA,NA,NA,NA,0.236,-1.126,-0.862,NA,NA,-0.349,-0.045,CNS.2,NA,ML.2,NA
Joubiniteuthis_portieri,4,0,0,1,0,1.081,-1.227,0.634,1.015,0.349,NA,NA,NA,NA,NA,NA,NA,NA,0.236,-1.126,-0.862,NA,NA,-0.349,-0.045,CNS.3,NA,ML.3,NA
Leachia_atlantica,3,0,0,1,0,0.575,0.881,0.36,0.587,0.548,NA,NA,NA,NA,NA,NA,NA,NA,-0.42,-1.126,-1.013,NA,NA,-0.414,-0.13,CNS.1,-1.182,ML.1,0.672
Leachia_atlantica,3,0,0,1,0,0.575,0.881,0.36,0.587,0.548,NA,NA,NA,NA,NA,NA,NA,NA,-0.42,-1.126,-1.013,NA,NA,-0.414,-0.13,CNS.2,NA,ML.2,NA
Leachia_atlantica,3,0,0,1,0,0.575,0.881,0.36,0.587,0.548,NA,NA,NA,NA,NA,NA,NA,NA,-0.42,-1.126,-1.013,NA,NA,-0.414,-0.13,CNS.3,NA,ML.3,NA
Loligo_forbesii,1,1,1,3,1,0.152,0.553,0.195,0.11,-0.218,NA,NA,0.681,0.273,NA,-0.317,0.203,1.339,1.061,1.578,1.693,NA,0.438,0.986,0.459,CNS.1,0.842,ML.1,-0.49
Loligo_forbesii,1,1,1,3,1,0.152,0.553,0.195,0.11,-0.218,NA,NA,0.681,0.273,NA,-0.317,0.203,1.339,1.061,1.578,1.693,NA,0.438,0.986,0.459,CNS.2,NA,ML.2,NA
Loligo_forbesii,1,1,1,3,1,0.152,0.553,0.195,0.11,-0.218,NA,NA,0.681,0.273,NA,-0.317,0.203,1.339,1.061,1.578,1.693,NA,0.438,0.986,0.459,CNS.3,NA,ML.3,NA
